Id,Category
0,1
1,2
2,2
3,4
4,2
5,1
6,2
7,4
8,3
9,3
10,3
11,3
12,6
13,1
14,2
15,3
16,1
17,4
18,4
19,1
20,1
21,2
22,3
23,2
24,2
25,3
26,2
27,3
28,3
29,1
30,3
31,3
32,6
33,5
34,1
35,2
36,2
37,3
38,1
39,4
40,4
41,1
42,6
43,4
44,1
45,1
46,1
47,5
48,1
49,3
50,1
51,1
52,3
53,1
54,1
55,1
56,3
57,3
58,5
59,1
60,2
61,4
62,2
63,3
64,4
65,3
66,3
67,4
68,3
69,1
70,2
71,1
72,2
73,3
74,1
75,1
76,3
77,5
78,3
79,1
80,4
81,1
82,3
83,1
84,4
85,4
86,2
87,5
88,3
89,6
90,4
91,1
92,4
93,2
94,3
95,4
96,1
97,3
98,3
99,1
100,3
101,2
102,1
103,5
104,1
105,1
106,3
107,3
108,3
109,4
110,1
111,4
112,2
113,5
114,5
115,1
116,3
117,4
118,5
119,4
120,2
121,1
122,2
123,3
124,3
125,1
126,4
127,1
128,2
129,1
130,3
131,1
132,3
133,4
134,3
135,1
136,3
137,3
138,1
139,4
140,3
141,1
142,1
143,2
144,3
145,5
146,1
147,4
148,5
149,3
150,3
151,1
152,1
153,1
154,1
155,2
156,3
157,1
158,6
159,1
160,4
161,3
162,1
163,1
164,1
165,1
166,3
167,6
168,2
169,3
170,3
171,3
172,4
173,3
174,3
175,1
176,3
177,4
178,1
179,5
180,1
181,3
182,3
183,2
184,5
185,5
186,1
187,5
188,3
189,1
190,1
191,5
192,3
193,3
194,4
195,3
196,4
197,2
198,4
199,1
200,5
201,5
202,3
203,4
204,2
205,2
206,4
207,1
208,5
209,4
210,1
211,1
212,1
213,1
214,1
215,5
216,3
217,2
218,1
219,3
220,4
221,4
222,6
223,4
224,2
225,4
226,2
227,3
228,2
229,3
230,4
231,4
232,1
233,4
234,2
235,1
236,5
237,3
238,2
239,2
240,3
241,4
242,3
243,1
244,6
245,4
246,1
247,1
248,3
249,2
250,4
251,1
252,4
253,1
254,1
255,1
256,5
257,1
258,1
259,3
260,3
261,4
262,1
263,3
264,5
265,2
266,3
267,4
268,1
269,6
270,3
271,4
272,1
273,3
274,5
275,3
276,1
277,4
278,1
279,3
280,1
281,1
282,5
283,4
284,1
285,1
286,2
287,1
288,1
289,1
290,4
291,1
292,5
293,3
294,4
295,2
296,3
297,4
298,4
299,4
300,5
301,4
302,1
303,3
304,1
305,1
306,1
307,4
308,1
309,1
310,3
311,1
312,6
313,1
314,6
315,5
316,2
317,3
318,3
319,4
320,5
321,2
322,2
323,4
324,4
325,2
326,6
327,5
328,2
329,4
330,1
331,3
332,4
333,5
334,2
335,1
336,3
337,2
338,3
339,1
340,4
341,5
342,4
343,1
344,3
345,4
346,1
347,3
348,3
349,3
350,5
351,1
352,6
353,3
354,2
355,2
356,1
357,2
358,4
359,5
360,5
361,3
362,1
363,3
364,1
365,1
366,6
367,1
368,2
369,1
370,3
371,3
372,4
373,1
374,3
375,1
376,3
377,5
378,3
379,1
380,1
381,1
382,2
383,4
384,2
385,5
386,4
387,4
388,1
389,1
390,2
391,3
392,2
393,3
394,1
395,5
396,2
397,1
398,4
399,4
400,4
401,1
402,3
403,1
404,4
405,4
406,4
407,1
408,5
409,3
410,6
411,1
412,1
413,3
414,4
415,1
416,6
417,3
418,1
419,1
420,2
421,4
422,3
423,3
424,1
425,4
426,3
427,3
428,2
429,2
430,1
431,4
432,1
433,2
434,3
435,1
436,3
437,2
438,1
439,1
440,1
441,4
442,3
443,4
444,3
445,6
446,1
447,3
448,1
449,3
450,4
451,3
452,1
453,3
454,1
455,1
456,3
457,6
458,5
459,1
460,3
461,3
462,3
463,1
464,1
465,1
466,6
467,2
468,6
469,3
470,6
471,3
472,4
473,4
474,3
475,4
476,5
477,1
478,1
479,4
480,3
481,6
482,1
483,2
484,1
485,3
486,4
487,3
488,1
489,2
490,3
491,1
492,2
493,3
494,5
495,1
496,1
497,6
498,1
499,2
500,5
501,1
502,4
503,1
504,2
505,1
506,3
507,2
508,5
509,3
510,3
511,1
512,4
513,1
514,1
515,1
516,4
517,4
518,2
519,4
520,1
521,1
522,3
523,1
524,2
525,4
526,1
527,1
528,1
529,2
530,1
531,5
532,5
533,2
534,1
535,3
536,3
537,1
538,3
539,2
540,1
541,2
542,3
543,1
544,1
545,4
546,2
547,5
548,1
549,5
550,6
551,2
552,1
553,1
554,1
555,3
556,5
557,4
558,2
559,2
560,3
561,2
562,3
563,2
564,1
565,1
566,1
567,4
568,1
569,1
570,3
571,3
572,4
573,3
574,3
575,3
576,1
577,5
578,4
579,1
580,2
581,1
582,2
583,3
584,4
585,2
586,3
587,1
588,2
589,3
590,4
591,1
592,1
593,1
594,4
595,1
596,3
597,5
598,4
599,6
600,1
601,1
602,2
603,2
604,2
605,6
606,5
607,3
608,3
609,1
610,4
611,1
612,3
613,4
614,3
615,4
616,5
617,1
618,2
619,3
620,2
621,2
622,3
623,1
624,2
625,1
626,3
627,2
628,4
629,1
630,1
631,6
632,5
633,1
634,2
635,6
636,5
637,2
638,5
639,3
640,1
641,2
642,4
643,1
644,1
645,4
646,1
647,3
648,4
649,3
650,1
651,1
652,3
653,2
654,5
655,1
656,1
657,5
658,2
659,3
660,3
661,5
662,3
663,2
664,1
665,3
666,1
667,2
668,3
669,2
670,3
671,2
672,3
673,1
674,3
675,3
676,6
677,3
678,5
679,1
680,3
681,3
682,4
683,4
684,1
685,3
686,3
687,3
688,3
689,2
690,1
691,2
692,1
693,2
694,3
695,1
696,1
697,1
698,2
699,4
700,3
701,4
702,1
703,5
704,5
705,4
706,4
707,2
708,4
709,1
710,3
711,4
712,1
713,1
714,5
715,3
716,1
717,1
718,3
719,5
720,4
721,3
722,4
723,2
724,4
725,1
726,1
727,1
728,4
729,4
730,1
731,4
732,1
733,1
734,1
735,3
736,3
737,6
738,5
739,3
740,2
741,3
742,1
743,2
744,5
745,1
746,4
747,4
748,1
749,1
750,4
751,2
752,3
753,4
754,1
755,3
756,6
757,2
758,4
759,2
760,1
761,4
762,4
763,3
764,3
765,3
766,2
767,1
768,2
769,3
770,1
771,1
772,6
773,1
774,2
775,3
776,1
777,1
778,1
779,1
780,3
781,1
782,5
783,2
784,6
785,4
786,5
787,1
788,1
789,1
790,5
791,2
792,3
793,4
794,3
795,4
796,1
797,5
798,4
799,4
800,1
801,3
802,5
803,1
804,1
805,2
806,1
807,2
808,1
809,1
810,1
811,5
812,3
813,1
814,1
815,1
816,1
817,1
818,3
819,1
820,2
821,3
822,4
823,1
824,5
825,1
826,1
827,3
828,2
829,1
830,4
831,1
832,3
833,5
834,2
835,1
836,1
837,4
838,3
839,1
840,3
841,3
842,1
843,1
844,1
845,4
846,1
847,6
848,4
849,1
850,1
851,2
852,3
853,4
854,4
855,4
856,1
857,1
858,2
859,1
860,4
861,1
862,1
863,4
864,2
865,1
866,4
867,3
868,6
869,2
870,1
871,4
872,3
873,5
874,3
875,3
876,4
877,1
878,3
879,2
880,2
881,1
882,5
883,4
884,2
885,1
886,3
887,1
888,1
889,3
890,1
891,6
892,3
893,2
894,2
895,4
896,2
897,2
898,5
899,1
900,3
901,4
902,3
903,1
904,3
905,3
906,3
907,3
908,4
909,4
910,2
911,6
912,3
913,1
914,2
915,4
916,1
917,6
918,3
919,4
920,5
921,5
922,1
923,1
924,1
925,1
926,6
927,1
928,3
929,2
930,2
931,4
932,2
933,1
934,5
935,1
936,4
937,2
938,1
939,4
940,1
941,2
942,1
943,1
944,1
945,3
946,1
947,1
948,3
949,3
950,4
951,1
952,4
953,5
954,3
955,5
956,3
957,1
958,2
959,1
960,3
961,3
962,4
